Client Name,Feature or part of Bridge this feedback is related to,What is the problem the user is experiencing?,Why would fixing this problem be valuable to this client?,Notes
True Talent Advisory,Learning Library,"True Talent Advisory needs a waitlisting capability for Live Training. True hires a company to come and do ILTs that are capped at 10 participants. If they do not have enough participation and cancel late, they are charged. If they don't cancel and less than 10 participants come, they are also charged. While the new feature of being able to unenroll yourself is a good step in the right direction, True really needs a waitlisting feature to help ensure that the class is always at capacity to avoid being charged.",Avoid being charged for not filling classes and avoid missing seeing when classes aren't full due to the process being automatic rather than manual. ,https://instructure.atlassian.net/browse/BEAM-3269
AvidXchange,Notifications,"Notifications from assessments are coming through as ""Bridge"" even with custom branding and custom to and from labels are set. These clients do not refer to Bridge as ""Bridge"" and seeing email notifications from Perform that refer to ""Bridge"" is confusing and frustrating to the clients. The core issue is that notifications from EmpDev modules do not have access to the same features as Learn. Please add the ability to customize from and reply labels for EmpDev emails as well as the ability to turn on/off emails from EmpDev modules. ","Continuity across the platform would help with adoption. Using AvidXchange as an example, they call Bridge ""My Career"" or ""AvidXchange Learning"" and so people aren't responding to emails from Perform that come from ""Bridge."" AP and Rainfocus are experiencing similar issues. ",We are not doing further work on notifications for Q2.
G2,"1on1s - Check Ins, 1on1s - Performance Conversations",When an employee changes managers their past 1on1s and PCs with that manager dissapear.,G2 wants to be able to show a history of great performance for employees by accessing past 1on1s and PCs,
Chemical Bank,Insights,Needing to go into Bridge in order to get reporting is not an efficient use of peoples' time. They would like an automated way to push reports/send reports to people within their organization on a set schedule. ,This would allow their managers and executives to review reports quickly and efficiently. ,Falls under save/share category for reporting
Vera Whole Health,Notifications,"Client would like the Manager Digest to include specific learner names. At this time, the notification indicates the number of overdue learners. This could include anyone in the manager's domain and there isn't a clear call to action.",It would be really helpful for our managers to see at a glance which of their specific direct reports are overdue for required trainings.,
HSA - Motiv Health,"1on1s - Check Ins, 1on1s - Performance Conversations",HSA - MotivHealth has many impromptu informal conversations between managers and employees,HSA - MotivHealth would love to see a 3rd type of 1on1 that lets them quickly add an item and archive the entire conversation so it is fresh each time while tracking that the conversation took place.,
GoHealth,Checkpoints,"From GoHealth: Within the checkpoint, all the columns in the list of learners are not sortable. We want to keep track of which learner is pending approval to make sure our checkpoint approvers are approving in a timely manner. An easy way for me to do that would be to sort the learners based on the status of their checkpoint. Then, I am able to get a headcount of who is waiting for approval all at once instead of weeding through the hundreds of learners within the checkpoint. Another reason for columns to be sortable would be so we could see how many learners each approver has approved or rejected. Again, this would be another way we can easily track approvers’ performance.  Ideally, we want all this information in a report that can easily be pulled, but this could be an easy fix before we can get the report we want.

The reports that we can pull do not have all the information we need. Reports that can be exported from either a checkpoint or the insights section, and they do not have the date the checkpoint was approved nor the name/ID of the approver. We need this information to document for our records when certificates were approved in the checkpoint. Also, when pulling the report, the learner’s status is not as defined as it could be. On the list of leaners section, it shows the agent’s progress as open, completed, pending approval, and retry. We would really like to see this in the report as well. The progress status we really need is the retry status. The only way to find out which agents were denied approval is if you comb through the long list of learners in the checkpoint or if you pull a separate report in insights that only shows agents who “must retake” the checkpoint. BUT when you export this report within the deep dive, there is no status distinction between those who are overdue because they have not submitted for approval and those who are overdue because they were denied approval (“must retake”). This is time consuming because the filter options in the enrollment status section of the deep dive do not align with how that enrollment status is defined in the report that is pulled.","They are implementing and leaning heavily on the checkpoint feature in Bridge. Checkpoints are now used to track certifications their employees need to have in order to be appointed and sell with an insurance carrier. They believe Bridge is a great place to document this information and somewhere their Licensing Team can easily access these certificates and approve them, but they are having trouble pulling reports from both the checkpoint itself and the deep dive feature in Insights.
",
Instructure,Courses,Fonts on PowerPoint slides are not persisting when uploaded to Bridge,The client would like to use custom fonts and have them persist into Bridge on powerpoints that are uploaded as a course,Not considering any time soon
SyncHR,Programs,Ability to duplicate/copy Programs,"SyncHR uses Programs to onboard their customers. Each customer should have a different sequence to their steps based on their rollout plan but they would like to recommend a sequence rather than give them the ability to take them in any order. Instead of recreating lengthy Programs every time they need to onboard a new customer, they'd love the ability to copy an existing Program and adjust the sequence, add or remove courses that don't apply to that customer.",
Altura,Time Reporting,"""Time in Course"" reporting to consider the time spent by learners viewing video. When the video player is made full screen Bridge believes the learner has exited the Bridge application and hence time in course is not correctly calculated. ","Compliance, Certification, Coaching",PB plans to do some investigation around how our tracking of time in course currently works in this PI but making changes aren't in scope
Laura Komenda,"Courses, Programs, Checkpoints, Live Trainings","Currently, you can only download attachments from the list view, not the grid view, in the learning library or my learning page.",Learners would be able to view and download the attachments no matter which view they are looking at their learnings in. This would ensure that learners would be able to see that attachment and wouldn't miss it no matter what view they are looking through. ,
MMS,Admin Tools,"For users with Auto-CSV, there is no way to tell without going into Bridge>Admin>CSV Import if your csv has any errors. Client would like an email alerting that there were issues to Bridge Admin so they know to check it out//raise the alarm with us or their internal hris admin. ",Valuable in the sense that the person who can help troubleshoot the auto csv errors is not a frequent user of bridge and admin rarely check the import page,
10X Genomics,Admin Tools,"They are seeking a way to easily create a ""New Hire"" smart group. They would like more advanced filtering/criteria options for SmartGroup creation. For example, the ability to add contains, greater than, less than, etc filters.

","They would like to create a New Hire onboarding program, and don't see any easy way to automatically add new hires to a smart group without such filter/criteria options.",
Empyrean,1on1s - Performance Conversations,"Skill assessments don't pull into a PC if not everyone the request was sent to has completed the assessment. The user can visit the ""Assessments"" tab to see that feedback, it it can't be added to the Performance Conversation template.","They typically send assessments to 10 people, and managers are already struggling to get anyone to complete the assessments, so asking them to do even more follow up (especially when the assessment are anonymous) is not viable.

Additionally, they shared w/ Dalin that they want the COMMENTS to show up in the PC, too. Having only the slider isn't sufficiently helpful, and they don't want to have to go find the details in the assessments section of Bridge.

(What they really wanted in a feedback tool was the ""stop, keep, change"" format, so this tool is starting to feel really rigid to the managers.)

Kay's next PCs are in september. Assessments will start late June/ July.",Done
MMS Holdings,"Courses, Programs, Checkpoints, Live Trainings, Timeline, Goals, Skills Assessments, 1on1s - Check Ins, 1on1s - Performance Conversations, Career, Engage, Insights, Anything that has to do with exports and reports",Client would like to be able to export reports in PDF format instead of just CSV format. ,They would have the file type that they are wanting. ,
UNT System,Notifications,The customer wants to be able to send the Manager Digest email on demand in addition to the scheduled process. ,"They feel they would like the flexibility of sending the full digest when they have items they want to call to the attention of managers before the next scheduled MD. I showed them the send message feature at the individual course level. The reply was, ""this is not useful"" for what they want to be able to do.",
DispactHealth,Notifications,"TL;DR, Jason wants more notification customization. Jason is wanting to be able to add a description of the course that they are getting enrolled in so that it will show up on their email notification. ",They would be able to get more information to their clients before they click on the invite. , customization of notifications is likely not on short-term horizon as we need to do more foundational work around notifications first
SGWS,Live Trainings,"SGWS would like for folks to be able to register for multiple future sessions at a time.   Right now, the feature will allow for a new registration after the a user's first session has been marketed attended, but reporting does not cover both sessions and is hard to capture attendance.    ",SGWS is a large client with users in many locations.  Some of their trainings are ones that users want to revisit.,https://instructure.atlassian.net/browse/BEAM-3239
SGWS,Live Trainings,SGWS would like to duplicate sessions in Live Training (this is a parody request),The time it takes to rebuild similar sessions is large for a client this size. THey have many live trainings. ,https://instructure.atlassian.net/browse/BEAM-3249
Numerica Credit Union,Live Trainings,"Numerica hosts a lot of live training courses that span multiple days. Creating sessions with multiple parts works, but due to there being no duplicating ability, they are concerned about how much manual work they are about to have to put in to keep all of their sessions up to date. ",Would limit the amount of manual work needed to keep their training calendar up to date and would allow instructors to own their trainings rather than putting more on the shoulders of admins. ,
Numerica Credit Union,Live Trainings,"Numerica, wants instructors to have the special ability for the sessions to which they are added. Something similar to the ""facilitator"" role in Talent Review, instructors should be able to see their attendees, start the session, and take attendance as well as email attendees for any live session they oversee. ",Would limit the amount of manual work needed to keep their training calendar up to date and would allow instructors to own their trainings rather than putting more on the shoulders of admins. ,
Bridge for Bridge,Live Trainings,"Webinars will not automatically launch the zoom in live trainings when the session begins. Right now, I am putting in live trainings for people that don't need to be authors because they are not regularly hosting sessions, they are just arranging one-off's that they want to open to the whole company. If the account admin is the only one overseeing the creation of this live training, it is solely reliant on the admin to launch the meeting so that attendees get taken into the webinar rather than being directed to Bridge. If the admin is out or away, attendees will not get into the webinar. I'd like for live trainings to have a fail safe where they automatically launch the zoom meeting at the time of the scheduled event so that it isn't a manual process to open a webinar room that people have joined through Bridge registration.",Provides a fail safe for webinars to begin if the author/admin isn't available and perhaps the instructor is outside of the organization and owning the webinar link. Also allows Bridge to track attendees and ensure those attendees get into the webinar room if an admin or author isn't available to start the meeting from Bridge.,https://instructure.atlassian.net/browse/BEAM-3249
Empyrean,"Skills Assessments, 1on1s - Performance Conversations","When assessments pull into the Performance Conversation, neither the employee nor manager can see comments or descriptors associated with the assessment. Comments/Descripots are visible from Assessments tab, but not from within the PC.","This would improve utilization and value of the PC. It would keep managers & employees from having to hunt for the ""meat"" of the feedback. Without written feedback to accompany the scored/scale, the feedback available within the PC is difficult to understand, accept and to learn & grow from.",https://instructure.atlassian.net/browse/BRD-1559
Altura,"Courses, Programs, Checkpoints, Live Trainings",There are currently long load times when searching for users in a training item that has lots of enrollments. To fix this we could implement a text search solution that would speed up the user queries in a training item.,Altura has multiple training items with lots of enrollments 5000 + and searching for a learner in those items can take anywhere between 15-30 seconds. Implementing a different search solution would help Altura admins and authors find enrollments more quickly.,
Gaylor Electric,Live Trainings,"Live trainings don't operate like courses and programs on the backend. They would like live training to be sortable by newest, updated, and alphabetical as well as filter by unpublished and no enrollments like you can for courses and programs. Additionally, they want to be able to add a picture to live training tiles in the learning library.",They will host a lot of live trainings so this will make their library more appealing by having cover slides and authors/admins will be able to sort though live training content faster and more efficiently. ,https://instructure.atlassian.net/browse/BEAM-3250
C Space,"Connect/Directory, Insights",Wants a report on how many people filled out their profile. ,They can encourage people who have not done this yet to fill out their profile to encourage connectivity.,
Certco,1on1s - Performance Conversations,"They have union and non union employees that have different PC schedules. Non-union employees do PCs annually while union employees do PCs on their anniversary. Certco would like to schedule PCs for non-union employees so they can get data on it, but since scheduling applies to everyone in Bridge, they have to turn that off and resort to the data dump to see who completed PCs on time and who didn't. ",Better experience to automate PCs for both of their audiences and receive easily accessible data on it. ,https://instructure.atlassian.net/browse/BRD-1560
Quantum Health,"Courses, Programs, Checkpoints, Live Trainings",No way to rate/review learning items.,"This is a team of L&D professionals that need to periodically review learning items as well as show the ROI of L&D to their internal stateholders. They use Kirkpatricks Training Evaluation Model. Level 1 of the model measures reaction (ie. Did you like/enjoy this course/training). Their prior LMS (docebo) was able to facilitate this level 1 evaluation. With out this native in Bridge, they are considering using Survey Monkey to capture this data.",
Gaylor Electric,"Timeline, Achievements","Gaylor wants learners to self-load completed certifications/evidence onto their timeline using achievements. Most common example is a CPR certification. Checkpoints don't work for this because the learner has to be enrolled in the checkpoint and that's too manual for the admins. Current workaround is to put a checkpoint in a program so learners can self-enroll, but then they can only upload one certification per program, so it's still not a great system. Essentially this is similar to the transcript tool, but the client doesn't want to buy that and, even if they did, those certifications loaded into transcript tool don't reflect on the timeline, which is the ultimate goal.","Less work for admins, more autonomy for employees. ",
Sofi,Live Trainings,They want to be able to add notes to the attendance in live trainings. ,"This way, they would be able to have more custom information per attendee, for example, if they left early and were caught up at a separate time or if they missed it entirely but were marked complete anyway, things like that. ",
Farmer's Fridge,"Timeline, Admin Tools","There is currently no way of knowing who has had HR items (think PIPs, or other notes) added to their timelines without going into each individual user. Admin is doing a bit of user clean up and worried about potentially terminating a user that had something added and not knowing.  They want to know so that they can then save that HR added document. ","If there was a csv export that just showed when HR items were added to the timeline, they could go directly to that user and export the doc(s). It would save a ton of time.",
Heinemann ,"Timeline, Admin Tools, User Mgmt","Bridge doesn't have a great way to support the usecase of an employee being on an extended leave (ie fmla, maternity/paternity, etc). Lots of implications for compliance reporting. Can somewhat be managed by terminating the users but sometimes it is okay that the user keeps access (if access remains, no notifications, no enrollments).  You should also be able to indicate a leave was started and ended on the users timeline",Better supports the employee lifecycle ,
AvidXChange,Engage,"Couple of issues that led users to think the Engage email was phishing: 
1) The email doesn't come from avidxchange, it comes from reply@engage.bridgeapp.com. This is a regular issue with all things that aren't learn, that custom notifications don't apply and it's also causing an issue here.
2) The subject line can't be changed for the Engage email. In place of having a custom from label, they would have liked to change the subject from ""we want to hear from you!"" to ""a survey from AvidXChange learning"" so employees knew it was legit
3) the AvidXchange logo on the top left of the purple box with the survey header is grey, which I was told today is intentional. Grey on purple is faint and hard to see so it made the email look like a fake. 

All of this led to people inquiring with HR whether or not the email was legit and possible will hinder the amount of responses they get.","More responses, less confusion of whether or not the survey is spam.",https://instructure.atlassian.net/browse/BRD-1561
Persado,"Checkpoints, Live Trainings, Insights","If Managers or admins want to look at an individual learner's completed learning deep dive report they cannot determine if a learner has completed Live Trainings or Checkpoints. Live Trainings and Checkpoints are left blank in the report. When you search the deep dive reports by content and look at those two learning items you can see who has completed them or not. This is specific to looking at an individual’s report. On the individual report it's looking for an completion percentage and Live Trainings and Checkpoints just say not started or completed, not a percentage. ",This would make it easier for the Admins and managers to see at a glance where their learners are in all their assigned learning. Without this they have to search Live Trainings and Checkpoints individually to check completion.,
C Space,Engage,"CSpace didn't grasp what manager dashboards were and forgot they left that setting on. When a recent engage survey closed, managers were emailed with results which caused panic from the admins. When creating an engage survey, it's really easy to bypass the manager dashboard setting and there isn't explanation on what that dashboard is, when it gets sent, and who gets it. Adding that information would help our admins make informed decisions about settings.",Admins could confidently decide whether or not they want manager dashboards on.,
Bridge Internal,Notifications,"As a user, I want to know when new features are released in app",It would easily showcase all the updated that can come out. Similar to how Slack does in-app notifications.,
SGWS,Learning Library,"Searching in Learning Library - Client has been getting several e-mails a week on problems searching the Learning Library. At times, when a learner searches by keyword they are told no matches are found and sometimes it will populate after a few seconds while other times it doesn’t populate at all. They seem to get better results when applying filters or searching by tags instead.",Better experience discovering content.,
Altec,"Courses, Programs","In order to re-enroll users to a course or as a safety manager, I an Admin/Manager have to not only have expire re-enroll feature on the existing Course (or program) first, but after manually setting the new expire to today's I have to wait a day to get the re-enrollment to kick in.  Can we have a process to help expedite the re-enrollment in the moment? ",Fast enrollment for Compliance related eLearnings (manufacturing moves fast),Voyager currently working on manual re-enroll option and should be released within the next month or two
Gila River,"Admin Tools, User management",There isn't an easy way to merge duplicate accounts!!! Really move enrollments from one account to another.,"When companies use email as the UID, and that email gets updated (ie after a name change), it is very cumbersome to move enrollments from the original account to the newly created account. So, admin often wait until there are is a lot of clean up needed and then it is an even bigger problem. Employee ID was not chosen as the UID for some reason but admin is asking around to see if there was a reason why. ",
Illinois Principals Association,Notifications,"They would like to change the time that automated emails are sent to managers as they are not adjustable and it's set to 12:01 am. They mentioned ""that’s a shame. I’ve had multiple people complaining that these emails wake them up at night.""",I think it could be valuable to many customers to adjust the time notifications are sent. ,
Transaction Data Systems,"Courses, Programs, Live Trainings, Insights, Admin Tools","Email from customer:
""The pain point would be in the lack of reporting for account admin/admins in a user friendly U/I solution. We should not be expected to look at the data dump reports. We know the data exists so why not make it visually and easier for a manager/account admin/admin to use?  

If the data is within the files there needs to be effort in prioritizing reports that can easily go into Insights for better usage. Our company goal is to give each employee a quarterly goal of 10 hours of coursework OR 40 hours annually. To try to achieve reporting on this is manual and gruesome. Therefore, my idea is to build a report based on the data that is already being recorded in the data dump.

Expectation:

Admins should expect to be able to look up any user within a timeframe to see how many hours completed for all courses, live programs, and all programs. Nice to have: users (end users) will be able to see their total time allocated to completed coursework on their completed learning dashboard based on a date range they can look at to ensure there are within their goal.  

Here would be the conditions:

By user, need a way to filter a time period of X to X (January 1 – January 31) up to a 18 month time frame (that way we reduce the amount of load pulling old data).
Need to pull in courses within the date timeframe given, that shows completed only (exclude in progress) for courses, live programs and programs the user has taken.
I need the report to pull user name, time in course/program, and duration of course/program (since we might use this instead if it’s more accurate) for only completed courses. 

Outcome:
 
If a user goes into Insights OR goes into user profiles one-by-one, they should be able to go to a user profile and pull up how many hours of coursework, live program, or program work that has been completed (exclude in progress) within a date time frame given by the user (up to 18 months at minimum).""",This would give a significant amount of time back to admins who are having to compile multiple reports from our data dump for a large number of users. ,
MMS,Admin Tools,"No change log that documents Admin actions. The customer has a several admin and they are also regularly audited. They need a report that would detail the actions an admin took inside Bridge (ie. enrolled X in a course, updated PC schedule, etc). They are mostly concerned about learning related actions.",Allows them to easily document the actions for their audit purposes. ,
Primex,"Courses, Programs","When a learner retakes a course the maximum number of times and still fails, they move on in a program and are considered ""complete"" even though they didn't pass the course. They would like failing a course to restrict them from advancing in the program and to not have a program considered complete if a course has been failed. ",They use these programs for certification purposes and they need the assessments to be passed to be considered complete. They will use a checkpoint at the end of the program to have a manager manually review each employee's program to make sure they passed the course. This would be valuable so that they don't have to add this manual step. ,
Altura,Courses,"""The current Bridge functionality is that a learner will be marked as ‘completed’ if they have failed all of the allotted attempts because technically, their enrollment is completed, as there is nothing left for the learner to complete or do in that course. As a result, he is reflected as being 100% complete with the course (the percentage would be his completion percentage, not his score) because he is done and no further action can be taken on his end. 
Because he is showing as 100% complete, it does issue a certificate, but the value for the date is invalid because he did not actually pass the course to get the certificate in the first place. ""","Logic to prevent a ""failed learner"" from receiving a certificate in a course simply because they completed the set number of attempts (but unsuccessfully) would help show data about users who actually ""pass"" a course, rather than just go through the motions to complete a course",
,Mobile App,"Using the product on Mobile. - ""Btw-love the simplicity and clean look on mobile!""  - Tina at Shutterstock ",there's no problem.  It's all good.,
Altura,Courses,Preview of Courses (not Programs) to see the course content before enrolling,"When we think of optional learning opportunities, skills growth, and not compliance/required courses, it would be nice for learners and employees to preview the content beyond a short description, to get a sense of the value and relevance of the course to their goals",
Quantum Health,Connect/Directory,"No Profile Skills or Skill Community Reports. | There is no way via a UI report or file export to see the skills/interests employees have added to their profiles or who makes up a skill community.  
",Quantum Health has rolled out EmpDev but just focusing on Learn but letting the other parts of the suite grow organically for the rest of the year. Seeing how users are gravitating to this area will be helpful/inform how they plan to approach increasing engagement to the rest of the empdev suite later. ,
AvidXChange,"Connect/Directory, Insights",Client can't easily see which skill communities exist and which communities have the most interest. Right now they have to manually go through the alphabet to get skill communities to generate on Directory and collect information on which communities have the most interest to then offer training content on those topics. It would also be great to have messaging on the community to let those individuals know that training on that topic is being offered. ,visibility into skills communities so action can be taken on them.,https://instructure.atlassian.net/browse/BEAM-3276
River Springs Charter School,Live Trainings,"When you add a web conference provider to a Live Training you need include any links, passwords, key, etc. on a separate page. Once you fill out the information there is a button ""Apply to Existing Session"" to select to save your information. When you select that button there is no indication that anything is saved. ","When you enter your web conference information the ""Apply to Existing Session"" button highlights blue like other buttons in Bridge.",
Bridge for Bridge,Live Trainings,"A live training is set for 8:30AM MT/10:30 ET and my email reminder didn't reflect my timezone. I am in the eastern timezone and received the reminder email at 9:30AM ET for this training that begins 10:30AM ET, but the email says ""this is a reminder about the session you have today at 08:30 AM."" So this is super confusing.",Less confusion about when LTs begin as it relates to me in my timezone,
Numerica Credit Union,Live Trainings,"Live training registrations are not ending up on the learner's correct calendar. It appears that when someone adds a live training they registered for to their calendar from the email confirmation, the event adds to the calendar associated with the email account (which tends to be the work email/calendar so that's positive). When you ""download invite"" from Bridge, it opens up the computer's calendar, for example iCal on a macbook, so it doesn't seem like calendar integrations work to learners who download calendar reminders from Bridge rather than from email. ",Helping learners remember to attend live trainings by adding the invitation to the correct calendar every time. ,"Can't fix, this is a local device problem"
OnLogic,1on1s - Performance Conversations,"OnLogic is exploring using PCs to develop personal improvement plans. To help with this, it would be nice to have different PC templates rather than one overarching one. Still, I think this could work with the current template if they add it to the HR timeline and label it as a PIP. Still, limitations to that is that only Account Admins can upload to that HR timeline and it's the only place that a document can be attached and labeled as a PIP. Also, it would be nice if there was a ""download to PDF"" button after submitting the PC rather than having to navigate to 1on1 history to find the PC and download it there (that download button isn't clear and is easy to miss).",Help with performance documentation.,https://instructure.atlassian.net/browse/BRD-1562
Fitness Alliance,UIDs,This client would like UID and the Login ID to be separate. Fitness Alliance hires a lot of hourly employees and when they do they start with their personal emails. When people are promoted they receive a work email. They are using Auto CSV and when an employee changes their email to a work email a new user gets created and re-enrolled in courses they have already completed. They have to reach out to support every time to merge the accounts and make sure that the course completions are marked correctly.,To separate the UID from the Login ID,
Bridge for Bridge,Live Trainings,"If an employee did not attend a live training that they registered for, the live training remains on the My Learning page and the button still says ""join session"" well after the session has ended. This is confusing since clicking the button takes you nowhere. ",people wouldn't assume it's a bug.,
Brewer Science,Insights,Can't easily know which managers have completed PCs for which employees on which date for all time. ,"Customers who have Quarterly PCs (industry recommended) cannot see most PC data past a few months/weeks. Customers who have unique schedules (e.g. based on hire date, staggered schedule) cannot see any data on PCs at all outside of Data Dump. Gleaning this data from the Data Dump requires vlookups from 3-4 CSV files and the following actions: Find the CSV that shows the number corresponding to the PC for the individual, vlookup to see who that individual is, then go to the other one which should have the notes of the PC which you find by grabbing that original number",
Brewer Science,General,"Our Admin are DELIGHTED with all the incremental improvements they're seeing across EmpDev. It felt like things had stalled for a while, but that recently every time she years from me it's with great product improvements that make their users lives better, and that the improvements are all easy to articulate. She doesn't have to re-message the offering - it's just constantly getting better. Thank you!!",Love y'all. You're making my job so pleasant. ,
Persado,Courses,They are wanting to be able to 'hide' quiz questions in a course so that they are no longer visible but still have the data for that question in the course. ,"This way, they will be able to deactivate a question but keep the data for it, then would be able to add it back to the course if they want more results on that question in the future instead of just adding/removing the question. ",
National Society to Prevent Blindness,Checkpoints,"Client is wanting to sort by pending approvals for all checkpoints, not just per checkpoint.",They would be able to see all pending approvals for all checkpoints in one place instead of just per checkpoint. ,
Vera Whole Health,1on1s - Check Ins,Ability to remove/archive/hide Virtual Team 1on1 Agendas,"They'd like their development coaches to start using 1on1 agendas with their coaching clients, but as development coaching is only a three-month process, they'd like them to be able to remove the agendas from their profiles when the coaching relationship is completed.",https://instructure.atlassian.net/browse/BEAM-2666
River Springs Charter School,Studio,Client would like to include a 'save' button during the creation of their Studio content so that there is a saved version in there just in case something were to go wrong. ,They would be able to pause a project and return to it later without having to worry about saving it. They would also feel better with the 'save' button so that they would have a safety net just in case their computer shuts down or has technical difficulties. ,
Livongo,Courses,when archiving courses Bridge says incomplete enrollments will be deactivated but the course still shows up in a learners required items and on the overdue report. ,They would like the wording to represent what actually happens to help with confusion among their admins. ,
Bowling Green State University,Roles and Permissions,They are wanting a permission that will allow their users to edit and remove tags and categories without giving them permission to edit or remove the tags and categories at the account level. ,This would allow them to have learners who can go through learning content and add/assign/modify/remove the tags and categories without letting them modify or remove them from the account. ,
Vera Whole Health,Insights,Would like to be able to report on terminated users within the user interface,This is valuable from a compliance and auditing perspective,
Vera Whole Health,Admin Tools,Customizable Email Notifications,They are especially interested in customizing the language sent in live training registration confirmation emails. They'd like to provide session specific details.,
Vera Whole Health,Live Trainings,Ability to add attachments at the Live Training session level.,They host location specific sessions and would like to be able to attach docs specific to that location or group,https://instructure.atlassian.net/browse/BEAM-3278
